timestamp_utc,blocker
2026-08-27T18:59:41.892019+00:00,Base signal did not qualify
2026-08-27T18:59:41.892021+00:00,Risk gate failed
2026-08-27T18:59:41.892022+00:00,Contract quality failed
2026-08-27T18:59:41.892023+00:00,15-minute trend mismatch
2026-08-27T18:59:41.892024+00:00,1-hour trend mismatch
2026-08-27T18:59:41.892025+00:00,Signal persistence failed
2026-08-27T18:59:41.892025+00:00,Market regime confirmation failed
2026-08-27T21:24:16.767924+00:00,Base signal did not qualify
2026-08-27T21:24:16.767927+00:00,Risk gate failed
2026-08-27T21:24:16.767928+00:00,Contract quality failed
2026-08-27T21:24:16.767929+00:00,15-minute trend mismatch
2026-08-27T21:24:16.767930+00:00,1-hour trend mismatch
2026-08-27T21:24:16.767931+00:00,Signal persistence failed
2026-08-27T21:24:16.767931+00:00,Market regime confirmation failed
2026-08-27T21:24:16.767932+00:00,Session timing failed
2026-08-27T21:25:22.439640+00:00,Base signal did not qualify
2026-08-27T21:25:22.439644+00:00,Risk gate failed
2026-08-27T21:25:22.439646+00:00,Contract quality failed
2026-08-27T21:25:22.439647+00:00,15-minute trend mismatch
2026-08-27T21:25:22.439647+00:00,1-hour trend mismatch
2026-08-27T21:25:22.439648+00:00,Signal persistence failed
2026-08-27T21:25:22.439649+00:00,Market regime confirmation failed
2026-08-27T21:25:22.439650+00:00,Session timing failed
2026-08-27T21:29:50.934083+00:00,Base signal did not qualify
2026-08-27T21:29:50.934086+00:00,Risk gate failed
2026-08-27T21:29:50.934087+00:00,Contract quality failed
2026-08-27T21:29:50.934088+00:00,15-minute trend mismatch
2026-08-27T21:29:50.934089+00:00,1-hour trend mismatch
2026-08-27T21:29:50.934090+00:00,Signal persistence failed
2026-08-27T21:29:50.934091+00:00,Market regime confirmation failed
2026-08-27T21:29:50.934092+00:00,Session timing failed
2026-08-27T21:30:49.517501+00:00,Base signal did not qualify
2026-08-27T21:30:49.517505+00:00,Risk gate failed
2026-08-27T21:30:49.517507+00:00,Contract quality failed
2026-08-27T21:30:49.517508+00:00,15-minute trend mismatch
2026-08-27T21:30:49.517509+00:00,1-hour trend mismatch
2026-08-27T21:30:49.517510+00:00,Signal persistence failed
2026-08-27T21:30:49.517510+00:00,Market regime confirmation failed
2026-08-27T21:30:49.517511+00:00,Session timing failed
2026-08-27T21:40:33.293593+00:00,Base signal did not qualify
2026-08-27T21:40:33.293595+00:00,Risk gate failed
2026-08-27T21:40:33.293597+00:00,Contract quality failed
2026-08-27T21:40:33.293598+00:00,15-minute trend mismatch
2026-08-27T21:40:33.293599+00:00,1-hour trend mismatch
2026-08-27T21:40:33.293599+00:00,Signal persistence failed
2026-08-27T21:40:33.293600+00:00,Market regime confirmation failed
2026-08-27T21:40:33.293601+00:00,Session timing failed
2026-08-27T21:47:08.182661+00:00,Base signal did not qualify
2026-08-27T21:47:08.182664+00:00,Risk gate failed
2026-08-27T21:47:08.182665+00:00,Contract quality failed
2026-08-27T21:47:08.182666+00:00,15-minute trend mismatch
2026-08-27T21:47:08.182667+00:00,1-hour trend mismatch
2026-08-27T21:47:08.182668+00:00,Signal persistence failed
2026-08-27T21:47:08.182668+00:00,Market regime confirmation failed
2026-08-27T21:47:08.182669+00:00,Session timing failed
2026-08-27T21:52:35.079243+00:00,Base signal did not qualify
2026-08-27T21:52:35.079246+00:00,Risk gate failed
2026-08-27T21:52:35.079247+00:00,Contract quality failed
2026-08-27T21:52:35.079248+00:00,15-minute trend mismatch
2026-08-27T21:52:35.079249+00:00,1-hour trend mismatch
2026-08-27T21:52:35.079250+00:00,Signal persistence failed
2026-08-27T21:52:35.079250+00:00,Market regime confirmation failed
