horizon,fold,rows,model_accuracy,balanced_accuracy,baseline_accuracy,excess_accuracy,auc
15m,1,533,51.969981238273924,52.02940844752722,48.21763602251407,3.7523452157598527,52.06112896858963
15m,2,533,50.65666041275797,50.18626703920075,47.65478424015009,3.0018761726078793,50.603956763469085
15m,3,533,52.34521575984991,51.50829562594268,41.46341463414634,10.881801125703568,52.00429284139692
15m,4,533,50.28142589118198,50.700754878222476,44.652908067542214,5.628517823639768,47.47187010397379
15m,5,533,51.594746716697934,51.54581066989826,48.592870544090054,3.0018761726078793,48.39782431023308
30m,1,511,43.24853228962818,45.11223862238622,46.96673189823875,-3.7181996086105684,48.27490774907749
30m,2,511,53.42465753424658,53.51264367816092,48.92367906066536,4.50097847358122,53.18927203065134
30m,3,511,55.57729941291585,52.38207621385192,58.121330724070454,-2.5440313111546047,54.02309701375122
30m,4,511,46.96673189823875,48.04934692477945,43.444227005870836,3.5225048923679125,46.118956326568785
30m,5,511,48.14090019569471,48.23862589795542,47.74951076320939,0.3913894324853189,47.785043286056364
60m,1,468,41.02564102564102,46.523144385431046,40.81196581196581,0.21367521367520936,49.673956187272005
60m,2,468,56.41025641025641,55.74598989233136,52.56410256410257,3.8461538461538396,58.50545667618838
60m,3,468,56.623931623931625,54.35779367101009,36.965811965811966,19.65811965811966,53.351621436269234
60m,4,468,47.43589743589743,47.25274725274725,41.66666666666667,5.769230769230759,42.834601296139766
60m,5,468,46.15384615384615,46.12345679012345,48.07692307692308,-1.923076923076927,43.08733424782808
90m,1,425,37.88235294117647,47.59043284501968,37.1764705882353,0.705882352941174,52.39415919973452
90m,2,425,61.64705882352941,61.48867313915858,51.52941176470588,10.117647058823536,62.00292592100014
90m,3,425,45.88235294117647,45.09716246918355,35.529411764705884,10.352941176470587,45.332817711606324
90m,4,425,50.8235294117647,50.90801886792453,37.64705882352941,13.17647058823529,52.5
90m,5,425,45.64705882352941,45.651740632474095,49.88235294117647,-4.235294117647058,44.84675347683586
