window,train_days,test_days,test_rows,balanced_accuracy,auc,confident_signals,confident_accuracy,confident_avg_return
1,8,2,132,44.17293233082707,39.45018796992481,129,37.98449612403101,-0.020673767587789025
2,10,2,132,43.29044117647059,47.92049632352942,115,44.34782608695652,-0.09207464676241049
3,12,2,132,36.904761904761905,40.476190476190474,130,36.15384615384615,-0.1380295913779223
4,14,2,132,49.583333333333336,45.763888888888886,122,53.278688524590166,0.0065427503002956945
5,16,2,132,37.30085430616486,30.270145462941585,112,36.607142857142854,-0.06954929756775959
6,18,2,132,56.402116402116405,57.601410934744266,115,58.26086956521739,-0.012039302903418023
7,20,2,132,46.666666666666664,48.58796296296297,110,45.45454545454545,-0.04670951976987877
8,22,2,132,58.09731299927379,59.76761074800291,114,60.526315789473685,0.03955857214963195
9,24,2,132,38.7012987012987,32.46753246753247,107,38.31775700934579,-0.053337727802872
10,26,2,132,55.17857142857143,56.339285714285715,103,54.36893203883495,0.00589935413451051
11,28,2,132,33.18452380952381,33.358134920634924,120,31.666666666666664,-0.10355081815811044
12,30,2,132,47.24390243902439,40.75609756097561,107,38.31775700934579,-0.036976275354946915
13,32,2,132,57.29166666666667,59.89583333333333,105,57.14285714285714,0.043706338497681754
14,34,2,132,63.56107660455487,64.50425580860365,109,65.13761467889908,0.02676365529560892
15,36,2,132,56.86635944700461,56.72811059907834,113,53.98230088495575,0.03657684963198334
16,38,2,132,52.27272727272727,48.88946280991735,116,59.48275862068966,0.052312877333634766
17,40,2,132,46.9815668202765,50.806451612903224,100,45.0,-0.02580820433914904
18,42,2,132,60.9488072902707,65.63923880997051,103,61.165048543689316,0.04150308087123219
19,44,2,132,48.5488739261667,45.623403761318784,99,48.484848484848484,0.024350651877388704
20,46,2,132,50.40406372662203,47.58716231817132,78,48.717948717948715,0.04484931453166377
21,48,2,132,35.0,32.768595041322314,97,55.670103092783506,-0.015001852727606553
22,50,2,132,59.42622950819671,75.57377049180329,116,20.689655172413794,-0.09581829303731818
23,52,2,132,46.9837296620776,44.280350438047556,83,38.55421686746988,-0.0563669189090394
24,54,2,132,47.72727272727273,49.035812672176306,90,50.0,-0.0036310344162695084
25,56,2,132,43.18127537616432,48.67446859326486,96,41.66666666666667,-0.015241574633870434
26,58,2,132,53.74282433983926,51.02181400688863,122,54.09836065573771,-0.006148520366352992
