timestamp_utc,bars_tested_30m,signals_30m,accuracy_30m,accuracy_60m,bull_accuracy_30m,bear_accuracy_30m,edge_30m,edge_60m,verdict
2026-08-27T21:29:50.951269+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-27T21:30:49.534948+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-27T21:40:33.312020+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-27T21:47:08.199793+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-27T21:52:35.095980+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-27T21:55:00.729403+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-27T22:04:11.949262+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-27T22:26:36.596474+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-28T00:45:15.623338+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-28T00:49:41.606750+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-28T00:54:26.104173+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-28T00:59:07.994873+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-28T01:05:46.422751+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-28T01:12:36.465670+00:00,308,111,46.85,42.2,54.55,29.41,-3.15,-7.8,WEAK
2026-08-28T16:47:07.048288+00:00,351,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T16:51:10.718660+00:00,352,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T16:54:08.667530+00:00,352,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T16:57:23.612732+00:00,353,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T17:00:45.678204+00:00,353,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T17:04:00.016586+00:00,354,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T17:07:00.480560+00:00,355,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T17:09:54.554926+00:00,355,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T17:13:44.401818+00:00,356,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T17:16:39.889103+00:00,357,122,50.0,41.8,57.95,29.41,0.0,-8.2,WEAK
2026-08-28T17:21:47.620455+00:00,358,123,50.41,41.8,57.95,31.43,0.41,-8.2,WEAK
2026-08-28T17:24:34.980186+00:00,358,123,50.41,41.8,57.95,31.43,0.41,-8.2,WEAK
2026-08-28T17:28:51.285367+00:00,359,124,50.81,41.8,57.95,33.33,0.81,-8.2,WEAK
2026-08-28T17:39:28.708870+00:00,361,126,50.0,41.8,57.95,31.58,0.0,-8.2,WEAK
2026-08-28T17:44:33.489918+00:00,362,127,50.39,41.8,57.95,33.33,0.39,-8.2,WEAK
2026-08-28T17:48:55.812779+00:00,363,128,50.0,41.8,57.95,32.5,0.0,-8.2,WEAK
2026-08-28T17:53:44.699454+00:00,364,129,49.61,42.28,57.95,31.71,-0.39,-7.72,WEAK
2026-08-28T17:58:37.842027+00:00,365,130,49.23,42.74,57.95,30.95,-0.77,-7.26,WEAK
2026-08-28T18:20:37.189184+00:00,369,132,48.48,42.19,57.95,29.55,-1.52,-7.81,WEAK
2026-08-28T18:23:56.160563+00:00,370,132,48.48,41.86,57.95,29.55,-1.52,-8.14,WEAK
2026-08-28T18:27:57.872303+00:00,371,132,48.48,41.54,57.95,29.55,-1.52,-8.46,WEAK
2026-08-28T18:31:41.099149+00:00,372,132,48.48,41.54,57.95,29.55,-1.52,-8.46,WEAK
2026-08-28T18:34:56.858355+00:00,372,132,48.48,41.54,57.95,29.55,-1.52,-8.46,WEAK
2026-08-28T18:39:45.452849+00:00,373,132,48.48,41.22,57.95,29.55,-1.52,-8.78,WEAK
2026-08-28T18:44:00.047147+00:00,374,132,48.48,40.91,57.95,29.55,-1.52,-9.09,WEAK
2026-08-28T18:48:38.912438+00:00,375,132,48.48,40.91,57.95,29.55,-1.52,-9.09,WEAK
2026-08-28T18:53:15.736970+00:00,376,133,48.87,40.91,57.95,31.11,-1.13,-9.09,WEAK
2026-08-28T19:51:22.672530+00:00,388,137,47.45,40.0,57.95,28.57,-2.55,-10.0,WEAK
