timestamp_utc,spy_price,ema9,ema21,rsi14,bull_score,bear_score,decision,paper_only
2026-08-27T17:52:58.386185+00:00,771.31,771.63,771.45,39.94,1,2,NO TRADE,True
2026-08-27T17:55:18.905361+00:00,771.35,771.64,771.45,40.77,1,2,NO TRADE,True
2026-08-27T17:57:47.468809+00:00,771.37,771.58,771.44,39.7,1,2,NO TRADE,True
2026-08-27T18:01:01.935414+00:00,771.27,771.5,771.42,29.52,1,1,NO TRADE,True
2026-08-27T18:05:32.228733+00:00,770.53,771.35,771.35,19.06,1,1,NO TRADE,True
2026-08-27T18:07:25.014756+00:00,770.6,771.2,771.28,19.42,0,2,NO TRADE,True
2026-08-27T18:09:39.867861+00:00,770.54,771.19,771.28,17.2,0,2,NO TRADE,True
2026-08-27T18:11:11.537850+00:00,770.33,771.01,771.19,14.44,0,2,NO TRADE,True
2026-08-27T18:15:12.613767+00:00,770.27,771.0,771.18,14.11,0,2,NO TRADE,True
2026-08-27T18:17:53.766022+00:00,770.15,770.83,771.09,4.78,0,2,NO TRADE,True
2026-08-27T18:20:13.285899+00:00,770.27,770.85,771.1,5.05,0,2,NO TRADE,True
2026-08-27T18:23:27.169323+00:00,770.28,770.74,771.02,5.58,0,2,NO TRADE,True
2026-08-27T18:27:29.308970+00:00,769.84,770.53,770.9,4.37,0,2,NO TRADE,True
2026-08-27T18:30:26.600384+00:00,769.46,770.45,770.87,3.79,0,2,NO TRADE,True
2026-08-27T18:53:04.025903+00:00,769.52,769.93,770.42,16.56,0,2,NO TRADE,True
2026-08-27T18:54:45.760655+00:00,769.5,769.93,770.42,16.46,0,2,NO TRADE,True
2026-08-27T18:57:05.270945+00:00,769.34,769.78,770.31,17.16,0,2,NO TRADE,True
2026-08-27T18:59:41.203988+00:00,769.75,769.87,770.35,26.95,0,2,NO TRADE,True
2026-08-27T21:24:16.333183+00:00,770.83,770.7,770.52,72.51,2,0,NO TRADE,True
2026-08-27T21:25:21.940110+00:00,770.83,770.7,770.52,72.51,2,0,NO TRADE,True
2026-08-27T21:29:50.362313+00:00,770.83,770.7,770.52,72.51,2,0,NO TRADE,True
2026-08-27T21:30:49.066190+00:00,770.83,770.7,770.52,72.51,2,0,NO TRADE,True
