timestamp_utc,spy_price,signal,final_action,confidence,regime,trend15,trend60,quality_score,trade_grade,shadow_ready,v17_ready,paper_execution,live_execution
2026-08-27T18:54:46.198659+00:00,769.5,NO TRADE,NO TRADE,0,DOWNTREND,BULLISH,BULLISH,30,REJECT,False,False,False,False
2026-08-27T18:57:05.742891+00:00,769.34,NO TRADE,NO TRADE,0,DOWNTREND,BULLISH,BULLISH,30,REJECT,False,False,False,False
2026-08-27T18:59:41.890248+00:00,769.75,NO TRADE,NO TRADE,0,DOWNTREND,BULLISH,BULLISH,30,REJECT,False,False,False,False
2026-08-27T21:24:16.766143+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T21:25:22.437447+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T21:29:50.932020+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T21:30:49.515529+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T21:40:33.291729+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T21:47:08.180768+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T21:52:35.077452+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T21:55:00.709803+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T22:04:11.929478+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-27T22:26:36.576381+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-28T00:45:15.603133+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-28T00:49:41.586650+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-28T00:54:26.084466+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-28T00:59:07.965455+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-28T01:05:46.402725+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-28T01:12:36.445799+00:00,770.83,NO TRADE,NO TRADE,0,UPTREND,BULLISH,BULLISH,20,REJECT,False,False,False,False
2026-08-28T16:47:07.027668+00:00,770.34,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T16:51:10.698424+00:00,770.27,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T16:54:08.646153+00:00,770.2,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T16:57:23.592269+00:00,769.86,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:00:45.656447+00:00,769.7,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:03:59.997276+00:00,769.0,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
2026-08-28T17:07:00.457514+00:00,768.9,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:09:54.533266+00:00,768.78,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:13:44.380292+00:00,769.06,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:16:39.868931+00:00,769.13,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:21:47.600435+00:00,769.0,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:24:34.958975+00:00,768.66,BEARISH,BEARISH,75,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:28:51.263330+00:00,768.99,BEARISH,BEARISH,50,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:39:28.688765+00:00,769.12,BEARISH,BEARISH,50,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:44:33.460223+00:00,768.92,BEARISH,BEARISH,50,DOWNTREND,BEARISH,BULLISH,80,B,False,False,False,False
2026-08-28T17:48:55.791878+00:00,769.3,NO TRADE,NO TRADE,0,DOWNTREND,BEARISH,BULLISH,30,REJECT,False,False,False,False
