period,horizon,signals,accuracy,edge
FOLD_1,15m,74,62.16216216216216,12.162162162162161
FOLD_1,30m,66,65.15151515151516,15.151515151515156
FOLD_1,60m,51,80.3921568627451,30.392156862745097
FOLD_1,90m,43,62.7906976744186,12.790697674418603
FOLD_2,15m,71,46.478873239436616,-3.5211267605633836
FOLD_2,30m,64,39.0625,-10.9375
FOLD_2,60m,54,46.2962962962963,-3.7037037037037024
FOLD_2,90m,47,51.06382978723404,1.0638297872340416
FOLD_3,15m,68,52.94117647058824,2.941176470588239
FOLD_3,30m,59,55.932203389830505,5.932203389830505
FOLD_3,60m,48,43.75,-6.25
FOLD_3,90m,34,35.294117647058826,-14.705882352941174
